publication_country_name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Australia,2,4,11,7,12,10,14,12,12,9,9,11,22,19,34,55
Austria,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
Brazil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
Canada,1,NA,NA,2,NA,1,2,NA,1,NA,1,NA,3,3,3,1
China,NA,1,1,4,5,8,15,16,14,31,17,13,13,19,42,97
Czech Republic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
Eurasian Patent Organization,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2
European Patent Office,4,2,7,18,3,4,7,4,13,7,16,13,8,13,15,28
France,1,NA,2,NA,1,4,NA,NA,5,5,7,1,4,8,13,9
Germany,1,1,2,3,3,2,4,2,2,1,1,2,4,1,2,2
Greece,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
India,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
Israel,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
Italy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
Japan,1,NA,1,NA,2,NA,1,2,2,2,NA,2,2,NA,2,4
Lithuania,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
Mexico,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
Poland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Republic of Korea,2,1,1,NA,NA,NA,NA,1,1,3,6,2,5,1,4,36
Romania,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,3,1,NA
RS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
Russian Federation,1,1,1,5,4,2,2,3,1,12,7,12,14,21,23,22
Singapore,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
Spain,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
Taiwan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA
Ukraine,NA,NA,NA,NA,1,NA,4,2,NA,1,2,NA,1,2,NA,NA
United Kingdom,3,NA,1,2,NA,NA,NA,2,1,1,NA,2,3,4,4,9
United States of America,28,38,46,56,85,74,76,88,115,117,120,148,221,192,311,592
WIPO (PCT),7,6,7,4,3,1,10,11,11,12,9,22,21,40,101,241
